incorrect	correct
তুমি কি বুঝতেছো না?	তুমি কি কিছু বুঝছো না?
সে ছবি তুলতেছে।	সে ছবি তুলছে।
তারা নাচতেছে গান গাইতেছে।	তারা নাচছে আর গান গাইছে।
আমি কাল আসবো	আমি কাল আসব
সে খেতে পারেন	সে খেতে পারে
আমি যাবো কাল	আমি কাল যাব
আমার তাকে ভালো লাগে	তাকে আমার ভালো লাগে
সে তার মা কে ডাকলো	সে তার মাকে ডাকলো
কাল আমি স্কুলে যাচ্ছি	কাল আমি স্কুলে যাব
গতকাল সে আসবে	গতকাল সে এসেছিল
আমি এখনো খাইনি	আমি এখনো খাইনি
বাবা কে বলো	বাবাকে বলো
আমি তার সাথে কথা বললাম	আমি তার সঙ্গে কথা বললাম
সে বাড়ি তে আছে	সে বাড়িতে আছে
মেয়েটি র নাম কী?	মেয়েটির নাম কী?
আমি ভাত খেলাম না	আমি ভাত খাইনি
তুমি কোথায় যাচ্ছো কাল?	কাল তুমি কোথায় যাচ্ছো?
সুন্দর খুব মেয়েটি	মেয়েটি খুব সুন্দর
তুমি কোথায় যাচ্ছে?	তুমি কোথায় যাচ্ছো?
সে কি করে?	সে কী করে?
তোমার নাম কি?	তোমার নাম কী?
আমি যাব না কাল	আমি কাল যাব না
তুমি খাও না কেন?	তুমি কেন খাও না?
আমি বাড়ী যাবো	আমি বাড়ি যাব
তুমি কোথাই যাচ্ছো?	তুমি কোথায় যাচ্ছো?
স্যার, তুমি কি বলছো?	স্যার, আপনি কি বলছেন?
আমি খেয়েছিলাম	আমি খেয়েছিলাম
তুমি আসছে কাল	তুমি কাল আসছো
সে দেখতে পারেন	সে দেখতে পারে
যদি তুমি আসো, তাহলে আমি খুশি হব	যদি তুমি আসো, তাহলে আমি খুশি হব
আমি জানি যে সে আসবে	আমি জানি যে সে আসবে
আমি যাইতাছি	আমি যাচ্ছি
তুই কি করস?	তুমি কি করছো?
সে আইছে	সে এসেছে
আমি স্কুলে যাই প্রতিদিন	আমি প্রতিদিন স্কুলে যাই
তুমি কি খাবে আজ?	আজ তুমি কি খাবে?
আমি তাকে দেখেছি গতকাল	আমি গতকাল তাকে দেখেছি
সে বলেছে যে আসবে	সে বলেছে যে সে আসবে
তুমি যাবে কখন?	তুমি কখন যাবে?
সে ঘুমাচ্ছে এখন	সে এখন ঘুমাচ্ছে
আমি খুব ভালোবাসি তাকে	আমি তাকে খুব ভালোবাসি
তুমি কেন আসো নি?	তুমি কেন আসোনি?
সে কিছু বলে নাই	সে কিছু বলেনি।
আমি জানি না কিছু	আমি কিছু জানি না
তুমি কি করতে পারো?	তুমি কি করতে পারো?
সে খেতে চায় না	সে খেতে চায় না
আমি বলেছিলাম যে আসব	আমি বলেছিলাম যে আসব
তিনি আতিনি নাই	তিনি আতিনিনি
তিনি আইছে	তিনি এতিনিছে
আপনি কেমন আছো?	আপনি কেমন আছো?
তিনি বলেছে যে আসবে	তিনি বলেছে যে তিনি আসবে
তিনি ঘুমাচ্ছে এখন	তিনি এখন ঘুমাচ্ছে
তিনি খেতে চায় না	তিনি খেতে চায় না
তিনি খেতে পারেন	তিনি খেতে পারে
তিনি কিছু বলে নাই	তিনি কিছু বলেনি
আপনি তোমার বই নিয়ে যাও	আপনি তোমার বই নিয়ে যাও
আপনি কেন আসো নি?	আপনি কেন আসোনি
আপনি কি করতে পারো?	আপনি কি করতে পারো?
আপনি কোথায় যাচ্ছো কাল?	কাল আপনি কোথায় যাচ্ছো?
তিনি তার মা কে ডাকলো	তিনি তার মাকে ডাকলো
আপনি এতিনি পড়ো	আপনি এতিনি পড়ো
তুমি স্কুলে যাচ্ছো না কি?	তুমি কি স্কুলে যাচ্ছো না?
আমি খাইছি ভাত	আমি ভাত খাচ্ছি
সে খেলতেছে না	সে খেলছে না
তুমি আমারে ডাকলা?	তুমি কি আমাকে ডাকলে?
আমি বাজার গেছি না	আমি বাজারে যাইনি
সে গান গাইতেছে না	সে গান গাইছে না
তুমি কী করছো না?	তুমি কি কিছু করছো না?
আমি ভাত খাইলাম	আমি ভাত খাইনি
সে ঘুমাইছে	সে ঘুমাচ্ছে
তুমি কাল আসছো নাকি?	তুমি কি কাল আসছো?
আমি বই পড়তেছি	আমি বই পড়ছি
তুমি কি খেলতে পারো না?	তুমি কি খেলতে পারো না?
সে আমাকে দেখে নাই	সে আমাকে দেখেনি
আমি ভাত রান্না করছিলাম	আমি ভাত রান্না করছিলাম
তুমি আমাকে ভালো লাগে	তুমি আমাকে ভালোবাসো
সে ছবি আঁকতেছে	সে ছবি আঁকছে
তুমি কবে আসছো?	তুমি কবে আসছো?
আমি স্কুলে যাচ্ছি না	আমি স্কুলে যাচ্ছি না
তুমি কি খেয়েছো না?	তুমি কি খেয়েছো না?
সে আজ স্কুলে আসে	সে আজ স্কুলে এসেছে
আমি তোমায় ডাকলাম না	আমি তোমায় ডাকিনি
তুমি কি বুঝছো না?	তুমি কি কিছু বুঝছো না
আমি গান শুনতেছি	আমি গান শুনছি
সে বই পড়ছে না	সে বই পড়ছে না
আমি স্কুলে যাইতেছি	আমি স্কুলে যাচ্ছি
তুমি কি খাবে না?	তুমি কি খাবে না?
সে আমার সাথে আসে	সে আমার সঙ্গে এসেছে
আমি ভাত খাইতেছি না	আমি ভাত খাচ্ছি না
তুমি কোথায় ছিলা কাল?	তুমি কোথায় ছিলে কাল?
সে খেলছে না বা ঘুমাচ্ছে	সে খেলছে না, ঘুমাচ্ছে
আমি খাইতেছি মাছ	আমি মাছ খাচ্ছি
তুমি কি পড়ছো না?	তুমি কি পড়ছো না?
